8190           8190W52926A           CL518191FSTK000000010.000                    20180512MB1B                9P1    Deficit of SL Unrestricted-use 10 PC : W52926A 8190 CL51
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180511MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZU94810           FLA18190FL51000000005.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU94810 8190 FLA1
8190           8190ZU94810           FLA18190FL51000000005.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU94810 8190 FLA1
8190           8190ZU94810           FLA18190FL51000000005.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU94810 8190 FLA1
8190           8190ZU94810           FLA18190FL51000000005.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZU94810 8190 FLA1
8190           8190WZ9116C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180512MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZZ32250           SX518190SX91000000010.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 9 PC : ZZ32250 8190 SX51
8190           8190WZ9853C           SX218190SX51000000001.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
8190           8190WZ9853C           SX218190SX51000000001.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
8190           8190WZ9853C           SX218190SX51000000001.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
8190           8190WZ9853C           SX218190SX51000000001.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
8190           8190WZ9853C           SX218190SX51000000001.000                    20180514MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
