8190           8190ZP67230           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190ZP64240           SXA08190SX21000000030.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190ZP61450           CLA08190CL21000000040.000                    20190216MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20190216MB1B                9I3    
