8190           8190ZS01640           CL518191FSTK000000005.000                    20180605MB1B                9P1    Material ZS01640 not maintained in plant 8191
8190           8190ZA1479C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA14790           SX518190SX91000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA14790           SX518190SX91000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1479C           SX218190SX51000000001.000                    20180601MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1479C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180602MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190WF9525C           SX518190SA1R000000001.000                    20180604MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WF9525C 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZA14790           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZG24330           CL518190CLB9000000180.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 180 PC : ZG24330 8190 CL51
8190           8190ZG24330           CL518190CLB9000000180.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 180 PC : ZG24330 8190 CL51
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZA1478C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA1478C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA1478C 8190 SX21
8190           8190ZA14780           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190WZ9116C           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9116C 8190 SX21
8190           8190ZA14790           SX518190SX91000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
