8190           8190ZS98370           FL918191FSTK000000050.000                    20190105MB1B                9P1    
8190           8190ZT43090           SX518190SX91000000004.000                    20190102MB1B                9I4    
8190           8190WZ91100           SX518190SX91000000005.000                    20190103MB1B                9I4    
8190           8190ZQ99600           SX518190SX91000000008.000                    20190104MB1B                9I3    
8190           8190ZQ99600           SX518190SX91000000008.000                    20190104MB1B                9I3    
8190           8190ZZ32710           SX518190SX91000000010.000                    20190105MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZQ88090           CL218190CL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZQ91520           SX518190SX91000000015.000                    20190104MB1B                9I3    
8190           8190W93627B           SX518190SX91000000005.000                    20190105MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190105MB1B                9I3    
8190           8190ZQ99520           SX518190SX91000000008.000                    20190104MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190105MB1B                9I3    
8190           8190ZZ32710           SX518190SX91000000010.000                    20190104MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190W93627B           SX518190SX91000000005.000                    20190105MB1B                9I3    
8190           8190ZC5872A           SX518190SX91000000010.000                    20190105MB1B                9I3    
8190           8190ZC5871B           SX518190SX91000000005.000                    20190105MB1B                9I3    
8190           8190ZC5871B           SX518190SX91000000005.000                    20190105MB1B                9I3    
8190           8190ZZ32710           SX518190SX91000000010.000                    20190104MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20190105MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20190105MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20190105MB1B                9I3    
8190           8190ZQ99010           SX218190SX51000000008.000                    20190105MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20190106MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20190106MB1B                9I3    
